location,level,normalThreshold,alertThreshold,criticalThreshold,recordedAt
Negombo,3.30,2.0,3.0,3.8,2024-03-19T00:00:00.000Z
Minuwangoda,3.08,2.0,3.0,3.8,2024-03-20T00:00:00.000Z
Gampaha,3.34,2.0,3.0,3.8,2024-03-20T00:00:00.000Z
Ja-Ela,2.34,2.0,3.0,3.8,2024-03-20T00:00:00.000Z
Negombo,2.34,2.0,3.0,3.8,2024-03-20T00:00:00.000Z
Minuwangoda,2.67,2.0,3.0,3.8,2024-03-21T00:00:00.000Z
Gampaha,3.09,2.0,3.0,3.8,2024-03-21T00:00:00.000Z
Ja-Ela,2.51,2.0,3.0,3.8,2024-03-21T00:00:00.000Z
Negombo,2.92,2.0,3.0,3.8,2024-03-21T00:00:00.000Z
Minuwangoda,3.07,2.0,3.0,3.8,2024-03-22T00:00:00.000Z
Gampaha,3.25,2.0,3.0,3.8,2024-03-22T00:00:00.000Z
Ja-Ela,2.93,2.0,3.0,3.8,2024-03-22T00:00:00.000Z
Negombo,2.49,2.0,3.0,3.8,2024-03-22T00:00:00.000Z
Minuwangoda,3.39,2.0,3.0,3.8,2024-03-23T00:00:00.000Z
Gampaha,2.34,2.0,3.0,3.8,2024-03-23T00:00:00.000Z
Ja-Ela,2.15,2.0,3.0,3.8,2024-03-23T00:00:00.000Z
Negombo,3.12,2.0,3.0,3.8,2024-03-23T00:00:00.000Z
Minuwangoda,3.19,2.0,3.0,3.8,2024-03-24T00:00:00.000Z
Gampaha,2.66,2.0,3.0,3.8,2024-03-24T00:00:00.000Z
Ja-Ela,2.74,2.0,3.0,3.8,2024-03-24T00:00:00.000Z
Negombo,3.31,2.0,3.0,3.8,2024-03-24T00:00:00.000Z
Minuwangoda,3.11,2.0,3.0,3.8,2024-03-25T00:00:00.000Z
Gampaha,2.95,2.0,3.0,3.8,2024-03-25T00:00:00.000Z
Ja-Ela,2.48,2.0,3.0,3.8,2024-03-25T00:00:00.000Z
Negombo,3.46,2.0,3.0,3.8,2024-03-25T00:00:00.000Z
Minuwangoda,2.77,2.0,3.0,3.8,2024-03-26T00:00:00.000Z
Gampaha,3.08,2.0,3.0,3.8,2024-03-26T00:00:00.000Z
Ja-Ela,2.60,2.0,3.0,3.8,2024-03-26T00:00:00.000Z
Negombo,2.31,2.0,3.0,3.8,2024-03-26T00:00:00.000Z
Minuwangoda,2.48,2.0,3.0,3.8,2024-03-27T00:00:00.000Z
Gampaha,3.22,2.0,3.0,3.8,2024-03-27T00:00:00.000Z
Ja-Ela,3.34,2.0,3.0,3.8,2024-03-27T00:00:00.000Z
Negombo,3.47,2.0,3.0,3.8,2024-03-27T00:00:00.000Z
Minuwangoda,2.98,2.0,3.0,3.8,2024-03-28T00:00:00.000Z
Gampaha,3.34,2.0,3.0,3.8,2024-03-28T00:00:00.000Z
