location,temperature,humidity,pressure,rainfall,recordedAt,source
Minuwangoda,28.2,94,1007,2.87,2024-01-19T00:00:00.000Z,Simulated
Gampaha,31.1,65,1002,7.45,2024-01-19T00:00:00.000Z,Simulated
Ja-Ela,29.7,78,1010,18.77,2024-01-19T00:00:00.000Z,Simulated
Negombo,31.9,66,1002,12.26,2024-01-19T00:00:00.000Z,Simulated
Minuwangoda,31.6,90,1009,14.02,2024-01-20T00:00:00.000Z,Simulated
Gampaha,26.2,66,1003,7.33,2024-01-20T00:00:00.000Z,Simulated
Ja-Ela,29.0,92,1001,18.43,2024-01-20T00:00:00.000Z,Simulated
Negombo,29.4,92,1001,5.28,2024-01-20T00:00:00.000Z,Simulated
Minuwangoda,31.6,78,1001,4.04,2024-01-21T00:00:00.000Z,Simulated
Gampaha,31.7,73,1006,9.90,2024-01-21T00:00:00.000Z,Simulated
Ja-Ela,29.4,95,1010,5.46,2024-01-21T00:00:00.000Z,Simulated
Negombo,27.5,78,1000,9.18,2024-01-21T00:00:00.000Z,Simulated
Minuwangoda,27.4,88,1001,2.74,2024-01-22T00:00:00.000Z,Simulated
Gampaha,31.9,68,1003,16.27,2024-01-22T00:00:00.000Z,Simulated
Ja-Ela,27.9,84,1001,12.30,2024-01-22T00:00:00.000Z,Simulated
Negombo,27.8,78,1004,0.35,2024-01-22T00:00:00.000Z,Simulated
Minuwangoda,29.4,71,1001,19.23,2024-01-23T00:00:00.000Z,Simulated
Gampaha,26.7,89,1002,11.61,2024-01-23T00:00:00.000Z,Simulated
Ja-Ela,31.4,82,1003,8.45,2024-01-23T00:00:00.000Z,Simulated
Negombo,27.9,82,1001,3.08,2024-01-23T00:00:00.000Z,Simulated
Minuwangoda,31.2,66,1009,19.22,2024-01-24T00:00:00.000Z,Simulated
Gampaha,29.1,88,1004,17.47,2024-01-24T00:00:00.000Z,Simulated
Ja-Ela,31.5,83,1004,12.34,2024-01-24T00:00:00.000Z,Simulated
Negombo,32.0,74,1007,14.66,2024-01-24T00:00:00.000Z,Simulated
Minuwangoda,27.8,75,1010,2.90,2024-01-25T00:00:00.000Z,Simulated
Gampaha,30.8,76,1002,1.01,2024-01-25T00:00:00.000Z,Simulated
Ja-Ela,30.8,84,1001,5.45,2024-01-25T00:00:00.000Z,Simulated
Negombo,26.4,71,1010,14.32,2024-01-25T00:00:00.000Z,Simulated
Minuwangoda,28.2,82,1003,4.68,2024-01-26T00:00:00.000Z,Simulated
Gampaha,26.8,85,1004,10.06,2024-01-26T00:00:00.000Z,Simulated
Ja-Ela,30.0,66,1007,14.66,2024-01-26T00:00:00.000Z,Simulated
Negombo,27.5,81,1007,13.44,2024-01-26T00:00:00.000Z,Simulated
Minuwangoda,29.7,69,1003,19.54,2024-01-27T00:00:00.000Z,Simulated
Gampaha,27.5,91,1008,6.73,2024-01-27T00:00:00.000Z,Simulated
Ja-Ela,31.3,95,1000,17.45,2024-01-27T00:00:00.000Z,Simulated
Negombo,27.6,76,1009,6.06,2024-01-27T00:00:00.000Z,Simulated
Minuwangoda,30.3,88,1005,18.29,2024-01-28T00:00:00.000Z,Simulated
Gampaha,26.0,88,1008,9.49,2024-01-28T00:00:00.000Z,Simulated
Ja-Ela,26.5,73,1009,3.74,2024-01-28T00:00:00.000Z,Simulated
Negombo,31.9,88,1007,1.26,2024-01-28T00:00:00.000Z,Simulated
Minuwangoda,26.8,78,1008,4.19,2024-01-29T00:00:00.000Z,Simulated
Gampaha,27.9,95,1000,18.89,2024-01-29T00:00:00.000Z,Simulated
Ja-Ela,27.0,93,1009,14.86,2024-01-29T00:00:00.000Z,Simulated
Negombo,28.3,89,1007,8.30,2024-01-29T00:00:00.000Z,Simulated
Minuwangoda,26.7,66,1005,12.24,2024-01-30T00:00:00.000Z,Simulated
Gampaha,28.1,86,1001,6.91,2024-01-30T00:00:00.000Z,Simulated
Ja-Ela,31.6,80,1006,3.10,2024-01-30T00:00:00.000Z,Simulated
Negombo,31.1,73,1007,12.68,2024-01-30T00:00:00.000Z,Simulated
Minuwangoda,28.3,88,1009,8.25,2024-01-31T00:00:00.000Z,Simulated
Gampaha,28.2,74,1010,1.29,2024-01-31T00:00:00.000Z,Simulated
Ja-Ela,27.1,70,1004,0.71,2024-01-31T00:00:00.000Z,Simulated
Negombo,29.7,81,1007,18.98,2024-01-31T00:00:00.000Z,Simulated
Minuwangoda,29.4,76,1005,3.42,2024-02-01T00:00:00.000Z,Simulated
Gampaha,26.5,77,1009,5.66,2024-02-01T00:00:00.000Z,Simulated
Ja-Ela,27.2,87,1002,8.47,2024-02-01T00:00:00.000Z,Simulated
Negombo,29.2,74,1009,17.06,2024-02-01T00:00:00.000Z,Simulated
Minuwangoda,28.4,68,1005,2.06,2024-02-02T00:00:00.000Z,Simulated
Gampaha,29.0,70,1005,18.12,2024-02-02T00:00:00.000Z,Simulated
Ja-Ela,26.3,92,1003,12.72,2024-02-02T00:00:00.000Z,Simulated
Negombo,31.8,89,1007,4.72,2024-02-02T00:00:00.000Z,Simulated
Minuwangoda,28.3,81,1003,15.31,2024-02-03T00:00:00.000Z,Simulated
Gampaha,31.9,77,1000,15.04,2024-02-03T00:00:00.000Z,Simulated
Ja-Ela,26.9,67,1007,4.24,2024-02-03T00:00:00.000Z,Simulated
Negombo,29.0,94,1005,15.28,2024-02-03T00:00:00.000Z,Simulated
Minuwangoda,26.5,67,1009,12.60,2024-02-04T00:00:00.000Z,Simulated
Gampaha,29.1,91,1008,8.38,2024-02-04T00:00:00.000Z,Simulated
Ja-Ela,29.9,89,1008,14.59,2024-02-04T00:00:00.000Z,Simulated
Negombo,29.6,87,1001,7.66,2024-02-04T00:00:00.000Z,Simulated
Minuwangoda,26.5,91,1007,1.74,2024-02-05T00:00:00.000Z,Simulated
Gampaha,29.1,69,1000,2.30,2024-02-05T00:00:00.000Z,Simulated
Ja-Ela,29.9,86,1003,3.77,2024-02-05T00:00:00.000Z,Simulated
Negombo,28.2,93,1004,3.52,2024-02-05T00:00:00.000Z,Simulated
Minuwangoda,26.7,85,1010,9.31,2024-02-06T00:00:00.000Z,Simulated
Gampaha,28.2,69,1004,15.56,2024-02-06T00:00:00.000Z,Simulated
Ja-Ela,31.6,87,1004,18.64,2024-02-06T00:00:00.000Z,Simulated
Negombo,27.0,93,1004,18.43,2024-02-06T00:00:00.000Z,Simulated
Minuwangoda,31.0,66,1002,6.79,2024-02-07T00:00:00.000Z,Simulated
Gampaha,29.6,85,1000,19.76,2024-02-07T00:00:00.000Z,Simulated
Ja-Ela,30.9,72,1002,8.63,2024-02-07T00:00:00.000Z,Simulated
Negombo,29.8,68,1006,8.32,2024-02-07T00:00:00.000Z,Simulated
Minuwangoda,27.6,83,1010,16.50,2024-02-08T00:00:00.000Z,Simulated
Gampaha,31.7,73,1005,10.98,2024-02-08T00:00:00.000Z,Simulated
Ja-Ela,29.1,79,1005,6.80,2024-02-08T00:00:00.000Z,Simulated
Negombo,27.2,69,1010,18.08,2024-02-08T00:00:00.000Z,Simulated
Minuwangoda,26.1,86,1010,19.78,2024-02-09T00:00:00.000Z,Simulated
Gampaha,29.5,76,1003,0.92,2024-02-09T00:00:00.000Z,Simulated
Ja-Ela,31.8,90,1009,3.29,2024-02-09T00:00:00.000Z,Simulated
Negombo,26.2,81,1009,14.86,2024-02-09T00:00:00.000Z,Simulated
Minuwangoda,31.1,92,1007,9.99,2024-02-10T00:00:00.000Z,Simulated
Gampaha,28.2,91,1001,16.11,2024-02-10T00:00:00.000Z,Simulated
Ja-Ela,26.5,84,1008,8.31,2024-02-10T00:00:00.000Z,Simulated
Negombo,30.1,90,1006,7.70,2024-02-10T00:00:00.000Z,Simulated
Minuwangoda,30.1,89,1002,8.80,2024-02-11T00:00:00.000Z,Simulated
Gampaha,29.1,91,1008,12.02,2024-02-11T00:00:00.000Z,Simulated
Ja-Ela,29.9,83,1002,9.39,2024-02-11T00:00:00.000Z,Simulated
Negombo,30.7,68,1006,10.94,2024-02-11T00:00:00.000Z,Simulated
Minuwangoda,31.9,91,1005,0.30,2024-02-12T00:00:00.000Z,Simulated
Gampaha,27.2,73,1001,12.71,2024-02-12T00:00:00.000Z,Simulated
Ja-Ela,27.0,69,1006,3.83,2024-02-12T00:00:00.000Z,Simulated
Negombo,27.6,70,1009,19.64,2024-02-12T00:00:00.000Z,Simulated
Minuwangoda,31.1,83,1010,14.24,2024-02-13T00:00:00.000Z,Simulated
Gampaha,26.3,72,1004,10.99,2024-02-13T00:00:00.000Z,Simulated
Ja-Ela,31.4,93,1003,15.54,2024-02-13T00:00:00.000Z,Simulated
Negombo,26.1,74,1005,7.49,2024-02-13T00:00:00.000Z,Simulated
Minuwangoda,30.3,78,1000,7.48,2024-02-14T00:00:00.000Z,Simulated
Gampaha,31.0,83,1004,18.10,2024-02-14T00:00:00.000Z,Simulated
Ja-Ela,28.8,73,1002,16.29,2024-02-14T00:00:00.000Z,Simulated
Negombo,26.1,70,1004,4.89,2024-02-14T00:00:00.000Z,Simulated
Minuwangoda,31.3,69,1007,15.01,2024-02-15T00:00:00.000Z,Simulated
Gampaha,28.4,80,1001,15.36,2024-02-15T00:00:00.000Z,Simulated
Ja-Ela,31.5,88,1005,18.75,2024-02-15T00:00:00.000Z,Simulated
Negombo,31.0,84,1008,5.40,2024-02-15T00:00:00.000Z,Simulated
Minuwangoda,28.4,95,1008,1.70,2024-02-16T00:00:00.000Z,Simulated
Gampaha,31.9,69,1001,15.51,2024-02-16T00:00:00.000Z,Simulated
Ja-Ela,29.3,83,1009,2.78,2024-02-16T00:00:00.000Z,Simulated
Negombo,30.0,73,1003,8.45,2024-02-16T00:00:00.000Z,Simulated
Minuwangoda,27.8,76,1005,0.88,2024-02-17T00:00:00.000Z,Simulated
Gampaha,26.5,87,1006,13.57,2024-02-17T00:00:00.000Z,Simulated
Ja-Ela,29.9,83,1004,7.28,2024-02-17T00:00:00.000Z,Simulated
Negombo,29.4,83,1003,3.03,2024-02-17T00:00:00.000Z,Simulated
Minuwangoda,27.7,75,1005,12.06,2024-02-18T00:00:00.000Z,Simulated
Gampaha,27.3,84,1005,6.10,2024-02-18T00:00:00.000Z,Simulated
Ja-Ela,31.7,89,1000,7.90,2024-02-18T00:00:00.000Z,Simulated
Negombo,27.9,69,1008,6.45,2024-02-18T00:00:00.000Z,Simulated
Minuwangoda,26.0,93,1009,13.79,2024-02-19T00:00:00.000Z,Simulated
Gampaha,27.8,90,1002,13.20,2024-02-19T00:00:00.000Z,Simulated
Ja-Ela,28.8,79,1008,9.13,2024-02-19T00:00:00.000Z,Simulated
Negombo,27.9,76,1008,19.14,2024-02-19T00:00:00.000Z,Simulated
Minuwangoda,31.4,76,1001,8.41,2024-02-20T00:00:00.000Z,Simulated
Gampaha,31.0,82,1007,1.92,2024-02-20T00:00:00.000Z,Simulated
Ja-Ela,27.7,78,1006,0.64,2024-02-20T00:00:00.000Z,Simulated
Negombo,31.9,67,1001,11.10,2024-02-20T00:00:00.000Z,Simulated
Minuwangoda,26.4,78,1004,1.39,2024-02-21T00:00:00.000Z,Simulated
Gampaha,31.6,84,1007,11.69,2024-02-21T00:00:00.000Z,Simulated
Ja-Ela,29.1,79,1003,6.94,2024-02-21T00:00:00.000Z,Simulated
Negombo,27.7,74,1009,12.68,2024-02-21T00:00:00.000Z,Simulated
Minuwangoda,30.7,77,1006,7.95,2024-02-22T00:00:00.000Z,Simulated
Gampaha,28.3,70,1004,6.03,2024-02-22T00:00:00.000Z,Simulated
Ja-Ela,26.9,91,1002,9.53,2024-02-22T00:00:00.000Z,Simulated
Negombo,28.3,76,1004,15.94,2024-02-22T00:00:00.000Z,Simulated
Minuwangoda,30.5,80,1000,6.09,2024-02-23T00:00:00.000Z,Simulated
Gampaha,28.0,87,1009,10.54,2024-02-23T00:00:00.000Z,Simulated
Ja-Ela,29.9,83,1003,12.70,2024-02-23T00:00:00.000Z,Simulated
Negombo,27.0,81,1006,4.84,2024-02-23T00:00:00.000Z,Simulated
Minuwangoda,30.6,94,1005,0.26,2024-02-24T00:00:00.000Z,Simulated
Gampaha,29.0,76,1002,8.09,2024-02-24T00:00:00.000Z,Simulated
Ja-Ela,27.3,69,1002,9.92,2024-02-24T00:00:00.000Z,Simulated
Negombo,27.6,91,1008,8.00,2024-02-24T00:00:00.000Z,Simulated
Minuwangoda,31.1,68,1006,12.98,2024-02-25T00:00:00.000Z,Simulated
Gampaha,27.8,95,1004,15.12,2024-02-25T00:00:00.000Z,Simulated
Ja-Ela,30.8,81,1003,15.32,2024-02-25T00:00:00.000Z,Simulated
Negombo,28.6,80,1004,2.13,2024-02-25T00:00:00.000Z,Simulated
Minuwangoda,26.4,71,1002,13.18,2024-02-26T00:00:00.000Z,Simulated
Gampaha,29.8,84,1009,14.41,2024-02-26T00:00:00.000Z,Simulated
Ja-Ela,29.3,73,1004,10.17,2024-02-26T00:00:00.000Z,Simulated
Negombo,30.5,73,1006,4.48,2024-02-26T00:00:00.000Z,Simulated
Minuwangoda,30.5,66,1009,5.01,2024-02-27T00:00:00.000Z,Simulated
Gampaha,29.0,88,1002,16.23,2024-02-27T00:00:00.000Z,Simulated
Ja-Ela,26.1,92,1001,5.94,2024-02-27T00:00:00.000Z,Simulated
Negombo,30.4,73,1005,17.87,2024-02-27T00:00:00.000Z,Simulated
Minuwangoda,27.0,92,1006,0.11,2024-02-28T00:00:00.000Z,Simulated
Gampaha,27.5,65,1007,6.04,2024-02-28T00:00:00.000Z,Simulated
Ja-Ela,27.0,79,1002,12.87,2024-02-28T00:00:00.000Z,Simulated
Negombo,31.8,75,1007,4.95,2024-02-28T00:00:00.000Z,Simulated
Minuwangoda,26.2,70,1010,7.24,2024-02-29T00:00:00.000Z,Simulated
Gampaha,30.2,94,1004,10.53,2024-02-29T00:00:00.000Z,Simulated
Ja-Ela,27.7,90,1010,16.32,2024-02-29T00:00:00.000Z,Simulated
Negombo,29.9,79,1007,18.04,2024-02-29T00:00:00.000Z,Simulated
Minuwangoda,31.2,91,1009,48.72,2024-03-01T00:00:00.000Z,Simulated
Gampaha,28.4,88,1006,6.66,2024-03-01T00:00:00.000Z,Simulated
Ja-Ela,27.0,76,1004,10.51,2024-03-01T00:00:00.000Z,Simulated
Negombo,27.1,73,1007,15.61,2024-03-01T00:00:00.000Z,Simulated
Minuwangoda,26.3,79,1009,47.57,2024-03-02T00:00:00.000Z,Simulated
Gampaha,29.7,92,1003,46.79,2024-03-02T00:00:00.000Z,Simulated
Ja-Ela,31.5,93,1003,14.68,2024-03-02T00:00:00.000Z,Simulated
Negombo,26.8,77,1009,44.40,2024-03-02T00:00:00.000Z,Simulated
Minuwangoda,27.9,94,1004,26.31,2024-03-03T00:00:00.000Z,Simulated
Gampaha,29.4,76,1008,24.29,2024-03-03T00:00:00.000Z,Simulated
Ja-Ela,29.6,94,1000,5.00,2024-03-03T00:00:00.000Z,Simulated
Negombo,28.9,91,1004,7.28,2024-03-03T00:00:00.000Z,Simulated
Minuwangoda,31.4,69,1005,36.23,2024-03-04T00:00:00.000Z,Simulated
Gampaha,30.1,67,1002,15.70,2024-03-04T00:00:00.000Z,Simulated
Ja-Ela,30.2,72,1001,40.60,2024-03-04T00:00:00.000Z,Simulated
Negombo,28.7,89,1000,21.78,2024-03-04T00:00:00.000Z,Simulated
Minuwangoda,29.8,91,1009,26.35,2024-03-05T00:00:00.000Z,Simulated
Gampaha,29.0,91,1004,35.78,2024-03-05T00:00:00.000Z,Simulated
Ja-Ela,28.2,86,1004,40.74,2024-03-05T00:00:00.000Z,Simulated
Negombo,31.4,90,1005,0.30,2024-03-05T00:00:00.000Z,Simulated
Minuwangoda,29.0,81,1010,1.32,2024-03-06T00:00:00.000Z,Simulated
Gampaha,29.9,80,1003,44.05,2024-03-06T00:00:00.000Z,Simulated
Ja-Ela,31.7,82,1010,8.57,2024-03-06T00:00:00.000Z,Simulated
Negombo,26.3,73,1004,32.11,2024-03-06T00:00:00.000Z,Simulated
Minuwangoda,30.7,72,1010,4.17,2024-03-07T00:00:00.000Z,Simulated
Gampaha,28.2,70,1001,10.67,2024-03-07T00:00:00.000Z,Simulated
Ja-Ela,26.7,67,1005,26.27,2024-03-07T00:00:00.000Z,Simulated
Negombo,29.5,84,1008,9.86,2024-03-07T00:00:00.000Z,Simulated
Minuwangoda,26.3,76,1004,31.45,2024-03-08T00:00:00.000Z,Simulated
Gampaha,31.1,94,1003,22.23,2024-03-08T00:00:00.000Z,Simulated
Ja-Ela,31.3,84,1009,31.42,2024-03-08T00:00:00.000Z,Simulated
Negombo,26.4,93,1000,44.47,2024-03-08T00:00:00.000Z,Simulated
Minuwangoda,28.0,74,1009,24.56,2024-03-09T00:00:00.000Z,Simulated
Gampaha,26.7,75,1003,13.99,2024-03-09T00:00:00.000Z,Simulated
Ja-Ela,28.6,75,1002,23.03,2024-03-09T00:00:00.000Z,Simulated
Negombo,26.1,92,1009,2.62,2024-03-09T00:00:00.000Z,Simulated
Minuwangoda,29.7,68,1002,31.75,2024-03-10T00:00:00.000Z,Simulated
Gampaha,28.4,72,1000,38.26,2024-03-10T00:00:00.000Z,Simulated
Ja-Ela,26.0,76,1004,13.44,2024-03-10T00:00:00.000Z,Simulated
Negombo,30.3,75,1001,31.01,2024-03-10T00:00:00.000Z,Simulated
Minuwangoda,28.5,69,1008,20.34,2024-03-11T00:00:00.000Z,Simulated
Gampaha,29.0,75,1007,30.77,2024-03-11T00:00:00.000Z,Simulated
Ja-Ela,28.5,93,1008,22.97,2024-03-11T00:00:00.000Z,Simulated
Negombo,31.7,88,1004,10.35,2024-03-11T00:00:00.000Z,Simulated
Minuwangoda,29.1,86,1003,20.17,2024-03-12T00:00:00.000Z,Simulated
Gampaha,29.0,87,1003,42.80,2024-03-12T00:00:00.000Z,Simulated
Ja-Ela,29.4,83,1008,1.93,2024-03-12T00:00:00.000Z,Simulated
Negombo,29.5,83,1001,22.58,2024-03-12T00:00:00.000Z,Simulated
Minuwangoda,27.7,76,1007,45.78,2024-03-13T00:00:00.000Z,Simulated
Gampaha,31.3,90,1010,11.18,2024-03-13T00:00:00.000Z,Simulated
Ja-Ela,30.9,76,1002,42.75,2024-03-13T00:00:00.000Z,Simulated
Negombo,27.8,86,1003,31.68,2024-03-13T00:00:00.000Z,Simulated
Minuwangoda,30.5,66,1005,8.81,2024-03-14T00:00:00.000Z,Simulated
Gampaha,29.2,85,1000,5.10,2024-03-14T00:00:00.000Z,Simulated
Ja-Ela,26.7,88,1003,43.87,2024-03-14T00:00:00.000Z,Simulated
Negombo,30.2,79,1008,23.91,2024-03-14T00:00:00.000Z,Simulated
Minuwangoda,27.8,82,1006,0.83,2024-03-15T00:00:00.000Z,Simulated
Gampaha,31.3,79,1002,3.71,2024-03-15T00:00:00.000Z,Simulated
Ja-Ela,31.7,78,1008,33.31,2024-03-15T00:00:00.000Z,Simulated
Negombo,29.5,87,1009,21.97,2024-03-15T00:00:00.000Z,Simulated
Minuwangoda,27.9,68,1001,42.75,2024-03-16T00:00:00.000Z,Simulated
Gampaha,27.2,95,1000,15.43,2024-03-16T00:00:00.000Z,Simulated
Ja-Ela,30.6,82,1004,22.28,2024-03-16T00:00:00.000Z,Simulated
Negombo,30.7,79,1007,34.98,2024-03-16T00:00:00.000Z,Simulated
Minuwangoda,29.3,77,1003,41.91,2024-03-17T00:00:00.000Z,Simulated
Gampaha,26.3,81,1010,42.74,2024-03-17T00:00:00.000Z,Simulated
Ja-Ela,30.7,88,1003,35.11,2024-03-17T00:00:00.000Z,Simulated
Negombo,30.4,81,1002,26.72,2024-03-17T00:00:00.000Z,Simulated
Minuwangoda,31.0,66,1002,35.10,2024-03-18T00:00:00.000Z,Simulated
Gampaha,26.6,71,1000,6.77,2024-03-18T00:00:00.000Z,Simulated
Ja-Ela,31.9,68,1008,37.90,2024-03-18T00:00:00.000Z,Simulated
Negombo,26.4,78,1002,40.11,2024-03-18T00:00:00.000Z,Simulated
Minuwangoda,28.8,73,1010,1.03,2024-03-19T00:00:00.000Z,Simulated
Gampaha,30.4,89,1001,23.82,2024-03-19T00:00:00.000Z,Simulated
Ja-Ela,30.5,91,1000,49.06,2024-03-19T00:00:00.000Z,Simulated
Negombo,31.3,68,1002,29.64,2024-03-19T00:00:00.000Z,Simulated
Minuwangoda,27.8,80,1009,25.21,2024-03-20T00:00:00.000Z,Simulated
Gampaha,27.0,74,1001,30.88,2024-03-20T00:00:00.000Z,Simulated
Ja-Ela,31.0,93,1002,23.48,2024-03-20T00:00:00.000Z,Simulated
Negombo,30.2,94,1007,22.63,2024-03-20T00:00:00.000Z,Simulated
Minuwangoda,29.8,73,1010,41.88,2024-03-21T00:00:00.000Z,Simulated
Gampaha,26.1,78,1010,26.59,2024-03-21T00:00:00.000Z,Simulated
Ja-Ela,26.1,86,1008,39.13,2024-03-21T00:00:00.000Z,Simulated
Negombo,30.8,79,1007,10.20,2024-03-21T00:00:00.000Z,Simulated
Minuwangoda,27.7,73,1007,40.14,2024-03-22T00:00:00.000Z,Simulated
Gampaha,31.9,66,1005,45.23,2024-03-22T00:00:00.000Z,Simulated
Ja-Ela,26.6,89,1003,2.61,2024-03-22T00:00:00.000Z,Simulated
Negombo,29.0,88,1002,48.31,2024-03-22T00:00:00.000Z,Simulated
Minuwangoda,30.2,93,1002,28.31,2024-03-23T00:00:00.000Z,Simulated
Gampaha,27.2,67,1007,17.78,2024-03-23T00:00:00.000Z,Simulated
Ja-Ela,28.7,67,1002,30.77,2024-03-23T00:00:00.000Z,Simulated
Negombo,27.0,76,1001,23.67,2024-03-23T00:00:00.000Z,Simulated
Minuwangoda,29.5,94,1008,32.13,2024-03-24T00:00:00.000Z,Simulated
Gampaha,30.8,65,1009,34.61,2024-03-24T00:00:00.000Z,Simulated
